logo_acc ,pct_id,joining_fees,annual_fees
101,001,199+GST,199+GST
101,002,199+GST,199+GST
101,101,NIL,NIL
101,102,NIL,199+GST
101,051,199+GST,199+GST
101,151,NIL,NIL
101,152,NIL,199+GST
102,003,499+GST,499+GST
102,004,499+GST,499+GST
102,103,NIL,NIL
102,104,NIL,499+GST
102,053,499+GST,499+GST
102,153,NIL,NIL
102,154,NIL,499+GST
103,029,299+GST,299+GST
103,110,NIL,299+GST
103,109,NIL,NIL
103,159,NIL,NIL
301,007,2999+GST,2999+GST
301,105,NIL,NIL
301,106,NIL,2999+GST
301,057,2999+GST,2999+GST
301,155,NIL,NIL
301,156,NIL,2999+GST
302,009,1499+GST,1499+GST
302,112,NIL,1499+GST
302,113,NIL,749+GST
302,114,NIL,2999+GST
302,010,749+GST,749+GST
302,030,2999+GST,2999+GST
302,111,NIL,NIL
302,151,NIL,NIL
303,115,NIL,NIL
303,155,NIL,NIL
401,107,NIL,NIL
401,011,7999+GST,7999+GST
401,012,7999+GST,7999+GST
401,108,NIL,7999+GST
401,157,NIL,NIL
401,051,7999+GST,7999+GST
401,158,NIL,7999+GST
501,031,99+GST,99+GST
501,116,NIL,NIL
501,051,99+GST,99+GST
501,156,NIL,NIL
601,015,NIL,NIL
602,016,NIL,NIL
602,038,NIL,NIL
602,123,NIL,NIL
603,017,NIL,NIL
603,039,NIL,NIL
701,018,NIL,NIL
702,019,NIL,NIL
703,020,NIL,NIL
801,022,NIL,NIL
801,040,NIL,NIL
802,023,NIL,NIL
803,024,NIL,NIL
803,025,999+GST,999+GST
803,026,499+GST,499+GST
803,027,NIL,999+GST
803,028,NIL,499+GST
803,118,NIL,99+GST Monthly Fees
503,036,999+GST,999+GST
503,126,NIL,999+GST
503,037,NIL,NIL
503,127,NIL,NIL
503,056,999+GST,999+GST
503,157,NIL,NIL
402,013,4999+GST,4999+GST
402,014,NIL,4999+GST
402,053,4999 + GST,4999 + GST
402,054,NIL,4999 + GST
402,101,NIL,NIL
504,128,NIL,NIL
504,158,NIL,NIL
505,134,NIL,NIL
505,154,NIL,NIL
306,043,999 + GST,999 + GST
306,053,999 + GST,999 + GST
306,131,NIL,NIL
804,132,NIL,49 + GST Monthly Fees
804,152,NIL,49 + GST
804,133,NIL,NIL
201,005,199+GST,NIL
201,055,199 + GST,NIL
201,006,99+GST,99+GST
201,101,NIL,NIL
201,102,199 + GST,199 + GST
201,103,99 + GST,NIL
305,001,999+GST,999+GST
305,125,NIL,NIL
421,001,4999+GST,4999+GST
421,102,NIL,4999+GST
421,101,NIL,NIL
911,115,NIL,NIL
911,117,NIL,99 + GST
911,155,NIL,NIL
911,157,NIL,99 + GST
914,001,299+GST,299+GST
914,002,499 + GST,499 + GST
914,101,NIL,NIL
914,051,299+GST,299+GST
914,151,NIL,NIL
915,101,NIL,NIL
915,151,NIL,NIL
916,101,NIL,NIL
916,151,NIL,NIL
913,101,NIL,NIL
913,001,999+GST,999+GST
913,002,499+GST,499+GST
913,102,NIL,999+GST
913,151,NIL,NIL
901,001,199+GST,199+GST
901,101,NIL,NIL
901,102,NIL,199+GST
901,051,199+GST,199+GST
901,151,NIL,NIL
901,152,NIL,199+GST
902,003,499+GST,499+GST
902,004,499+GST,499+GST
902,103,NIL,NIL
902,104,NIL,499+GST
902,053,499+GST,499+GST
902,153,NIL,NIL
902,154,NIL,499+GST
909,007,2999+GST,2999+GST
909,008,2999+GST,2999+GST
909,105,NIL,NIL
909,106,NIL,2999+GST
909,057,2999+GST,2999+GST
909,156,NIL,2999+GST
909,155,NIL,NIL
910,029,7999+GST,7999+GST
910,109,NIL,NIL
910,110,NIL,7999+GST
910,059,7999+GST,7999+GST
910,159,NIL,NIL
912,009,4999 + GST,4999 + GST
912,111,NIL,NIL
912,112,NIL,4999 + GST
912,059,4999 + GST,4999 + GST
904,109,NIL,NIL
904,159,NIL,NIL
906,111,NIL,NIL
906,151,NIL,NIL
905,115,NIL,NIL
905,155,NIL,NIL
908,003,99+GST,99+GST
908,103,NIL,NIL
908,153,NIL,NIL
925,001,199+GST,199+GST
925,002,99+GST,99+GST
925,101,NIL,NIL
925,102,199+GST,NIL
925,103,99+GST,99+GST
925,051,199+GST,NIL
925,151,NIL,NIL
922,001,999+GST,999+GST
922,101,NIL,NIL
922,102,NIL,999+GST
919,001,999 + GST,999 + GST
919,101,NIL,NIL
919,102,NIL,999 + GST
920,001,299 + GST,299 + GST
920,101,NIL,NIL
920,102,NIL,49 + GST Monthly Fees
930,101,NIL,NIL
930,001,NIL,NIL
924,001,7999+GST,7999+GST
924,102,NIL,7999+GST
924,101,NIL,NIL
903,007,2999 + GST,2999 + GST
903,008,2999 + GST,2999 + GST
903,105,NIL,NIL
903,007,NIL,2999 + GST
907,101,NIL,NIL
907,001,199 + GST, 199 + GST
907,002,199 + GST, 199 + GST
907,102,NIL,199 +  GST
